algorithm,num_elements,order,execution_time,replication
quick,10000,ordered,5129744,1
quick,10000,ordered,3089378,2
quick,10000,ordered,2074478,3
quick,10000,ordered,629709,4
quick,10000,ordered,629709,5
quick,10000,ordered,679518,6
quick,10000,ordered,629408,7
quick,10000,ordered,636350,8
quick,10000,ordered,611899,9
quick,10000,ordered,843134,10
merge,10000,ordered,665029,1
merge,10000,ordered,805701,2
merge,10000,ordered,747440,3
merge,10000,ordered,664424,4
merge,10000,ordered,631822,5
merge,10000,ordered,626992,6
merge,10000,ordered,646614,7
merge,10000,ordered,633331,8
merge,10000,ordered,628200,9
merge,10000,ordered,685857,10
quick,10000,ordered,698838,1
quick,10000,ordered,886000,2
quick,10000,ordered,614313,3
quick,10000,ordered,626992,4
quick,10000,ordered,610087,5
quick,10000,ordered,632124,6
quick,10000,ordered,612502,7
quick,10000,ordered,652652,8
quick,10000,ordered,636048,9
quick,10000,ordered,610389,10
quick,10000,ordered,634238,1
quick,10000,ordered,609484,2
quick,10000,ordered,690989,3
quick,10000,ordered,796042,4
quick,10000,ordered,653557,5
quick,10000,ordered,650539,6
quick,10000,ordered,697027,7
quick,10000,ordered,771288,8
quick,10000,ordered,640576,9
quick,10000,ordered,449188,10
merge,10000,ordered,397568,1
merge,10000,ordered,398474,2
merge,10000,ordered,398776,3
merge,10000,ordered,380965,4
merge,10000,ordered,400285,5
merge,10000,ordered,401191,6
merge,10000,ordered,409945,7
merge,10000,ordered,397568,8
merge,10000,ordered,438321,9
merge,10000,ordered,1059276,10
quick,10000,ordered,380362,1
quick,10000,ordered,399077,2
quick,10000,ordered,399077,3
quick,10000,ordered,399077,4
quick,10000,ordered,399380,5
quick,10000,ordered,405115,6
quick,10000,ordered,407228,7
quick,10000,ordered,399681,8
quick,10000,ordered,397869,9
quick,10000,ordered,400587,10
quick,10000,ordered,415076,1
quick,10000,ordered,408737,2
quick,10000,ordered,407832,3
quick,10000,ordered,406625,4
quick,10000,ordered,426246,5
quick,10000,ordered,409341,6
quick,10000,ordered,463981,7
quick,10000,ordered,411152,8
quick,10000,ordered,407228,9
quick,10000,ordered,409341,10
merge,10000,ordered,405417,1
merge,10000,ordered,403304,2
merge,10000,ordered,383380,3
merge,10000,ordered,473338,4
merge,10000,ordered,457641,5
merge,10000,ordered,590767,6
merge,10000,ordered,398474,7
merge,10000,ordered,476659,8
merge,10000,ordered,404813,9
merge,10000,ordered,452509,10
quick,10000,ordered,399077,1
quick,10000,ordered,491451,2
quick,10000,ordered,737176,3
quick,10000,ordered,601333,4
quick,10000,ordered,394550,5
quick,10000,ordered,452207,6
quick,10000,ordered,391832,7
quick,10000,ordered,395153,8
quick,10000,ordered,392436,9
quick,10000,ordered,393946,10
quick,10000,ordered,407530,1
quick,10000,ordered,393039,2
quick,10000,ordered,400587,3
quick,10000,ordered,401191,4
quick,10000,ordered,394247,5
quick,10000,ordered,392738,6
quick,10000,ordered,393946,7
quick,10000,ordered,401191,8
quick,10000,ordered,395153,9
quick,10000,ordered,394550,10
merge,10000,ordered,406624,1
merge,10000,ordered,400586,2
merge,10000,ordered,486319,3
merge,10000,ordered,457339,4
merge,10000,ordered,416888,5
merge,10000,ordered,415982,6
merge,10000,ordered,403002,7
merge,10000,ordered,385191,8
merge,10000,ordered,412360,9
merge,10000,ordered,401493,10
quick,10000,ordered,409039,1
quick,10000,ordered,426246,2
quick,10000,ordered,468206,3
quick,10000,ordered,580504,4
quick,10000,ordered,427755,5
quick,10000,ordered,412661,6
quick,10000,ordered,381569,7
quick,10000,ordered,423227,8
quick,10000,ordered,413567,9
quick,10000,ordered,428057,10
quick,10000,ordered,459452,1
quick,10000,ordered,441641,2
quick,10000,ordered,384587,3
quick,10000,ordered,403001,4
quick,10000,ordered,427151,5
quick,10000,ordered,404813,6
quick,10000,ordered,404511,7
quick,10000,ordered,405115,8
quick,10000,ordered,385795,9
quick,10000,ordered,401794,10
merge,10000,ordered,402096,1
merge,10000,ordered,402398,2
merge,10000,ordered,402700,3
merge,10000,ordered,384588,4
merge,10000,ordered,405115,5
merge,10000,ordered,404813,6
merge,10000,ordered,404812,7
merge,10000,ordered,409039,8
merge,10000,ordered,384286,9
merge,10000,ordered,403908,10
quick,10000,ordered,450698,1
quick,10000,ordered,427756,2
quick,10000,ordered,412964,3
quick,10000,ordered,406926,4
quick,10000,ordered,383682,5
quick,10000,ordered,406625,6
quick,10000,ordered,407832,7
quick,10000,ordered,402700,8
quick,10000,ordered,402700,9
quick,10000,ordered,463074,10
quick,10000,ordered,414171,1
quick,10000,ordered,448585,2
quick,10000,ordered,768270,3
quick,10000,ordered,428962,4
quick,10000,ordered,393040,5
quick,10000,ordered,396964,6
quick,10000,ordered,390323,7
quick,10000,ordered,395153,8
quick,10000,ordered,441641,9
quick,10000,ordered,403304,10
merge,10000,ordered,394851,1
merge,10000,ordered,393945,2
merge,10000,ordered,396058,3
merge,10000,ordered,403605,4
merge,10000,ordered,418095,5
merge,10000,ordered,435604,6
merge,10000,ordered,391229,7
merge,10000,ordered,395153,8
merge,10000,ordered,392738,9
merge,10000,ordered,394248,10
quick,10000,ordered,392134,1
quick,10000,ordered,391531,2
quick,10000,ordered,406625,3
quick,10000,ordered,398473,4
quick,10000,ordered,394549,5
quick,10000,ordered,393341,6
quick,10000,ordered,391530,7
quick,10000,ordered,402398,8
quick,10000,ordered,467905,9
quick,10000,ordered,502922,10
quick,10000,ordered,444660,1
quick,10000,ordered,415378,2
quick,10000,ordered,426548,3
quick,10000,ordered,378852,4
quick,10000,ordered,399681,5
quick,10000,ordered,399983,6
quick,10000,ordered,399983,7
quick,10000,ordered,402398,8
quick,10000,ordered,380663,9
quick,10000,ordered,401493,10
merge,10000,ordered,520430,1
merge,10000,ordered,488734,2
merge,10000,ordered,697933,3
merge,10000,ordered,548807,4
merge,10000,ordered,565410,5
merge,10000,ordered,631822,6
merge,10000,ordered,576277,7
merge,10000,ordered,520733,8
merge,10000,ordered,543373,9
merge,10000,ordered,633029,10
quick,10000,ordered,653859,1
quick,10000,ordered,539147,2
quick,10000,ordered,540958,3
quick,10000,ordered,540656,4
quick,10000,ordered,524053,5
quick,10000,ordered,543071,6
quick,10000,ordered,534619,7
quick,10000,ordered,530694,8
quick,10000,ordered,606465,9
quick,10000,ordered,649331,10
quick,10000,ordered,570240,1
quick,10000,ordered,693103,2
quick,10000,ordered,673178,3
quick,10000,ordered,578994,4
quick,10000,ordered,563901,5
quick,10000,ordered,752270,6
quick,10000,ordered,539750,7
quick,10000,ordered,625181,8
quick,10000,ordered,734157,9
quick,10000,ordered,687970,10
merge,10000,ordered,586239,1
merge,10000,ordered,602541,2
merge,10000,ordered,522544,3
merge,10000,ordered,666236,4
merge,10000,ordered,598918,5
merge,10000,ordered,534317,6
merge,10000,ordered,601031,7
merge,10000,ordered,658387,8
merge,10000,ordered,549108,9
merge,10000,ordered,533411,10
quick,10000,ordered,533110,1
quick,10000,ordered,532506,2
quick,10000,ordered,532808,3
quick,10000,ordered,546392,4
quick,10000,ordered,531902,5
quick,10000,ordered,626992,6
quick,10000,ordered,658991,7
quick,10000,ordered,542770,8
quick,10000,ordered,531600,9
quick,10000,ordered,534317,10
quick,10000,ordered,567523,1
quick,10000,ordered,546694,2
quick,10000,ordered,523148,3
quick,10000,ordered,529789,4
quick,10000,ordered,591371,5
quick,10000,ordered,712725,6
quick,10000,ordered,525261,7
quick,10000,ordered,773401,8
quick,10000,ordered,675896,9
quick,10000,ordered,542165,10
merge,10000,ordered,533713,1
merge,10000,ordered,567825,2
merge,10000,ordered,557864,3
merge,10000,ordered,613710,4
merge,10000,ordered,642690,5
merge,10000,ordered,578391,6
merge,10000,ordered,573561,7
merge,10000,ordered,522242,8
merge,10000,ordered,542467,9
merge,10000,ordered,548806,10
quick,10000,ordered,576579,1
quick,10000,ordered,603747,2
quick,10000,ordered,641180,3
quick,10000,ordered,645406,4
quick,10000,ordered,601031,5
quick,10000,ordered,709102,6
quick,10000,ordered,542166,7
quick,10000,ordered,540656,8
quick,10000,ordered,541562,9
quick,10000,ordered,560882,10
quick,10000,ordered,585937,1
quick,10000,ordered,593182,2
quick,10000,ordered,643898,3
quick,10000,ordered,542769,4
quick,10000,ordered,534920,5
quick,10000,ordered,577183,6
quick,10000,ordered,698839,7
quick,10000,ordered,575976,8
quick,10000,ordered,613408,9
quick,10000,ordered,623068,10
merge,10000,ordered,594994,1
merge,10000,ordered,643294,2
merge,10000,ordered,543977,3
merge,10000,ordered,539147,4
merge,10000,ordered,576881,5
merge,10000,ordered,520129,6
merge,10000,ordered,561184,7
merge,10000,ordered,531902,8
merge,10000,ordered,550618,9
merge,10000,ordered,585937,10
quick,10000,ordered,642689,1
quick,10000,ordered,524053,2
quick,10000,ordered,617333,3
quick,10000,ordered,696122,4
quick,10000,ordered,581409,5
quick,10000,ordered,564504,6
quick,10000,ordered,532505,7
quick,10000,ordered,577485,8
quick,10000,ordered,620653,9
quick,10000,ordered,688877,10
quick,10000,ordered,558165,1
quick,10000,ordered,564806,2
quick,10000,ordered,525260,3
quick,10000,ordered,587749,4
quick,10000,ordered,630313,5
quick,10000,ordered,609182,6
quick,10000,ordered,607069,7
quick,10000,ordered,621861,8
quick,10000,ordered,721177,9
quick,10000,ordered,530090,10
merge,10000,ordered,520430,1
merge,10000,ordered,524355,2
merge,10000,ordered,535525,3
merge,10000,ordered,574164,4
merge,10000,ordered,524053,5
merge,10000,ordered,526771,6
merge,10000,ordered,592579,7
merge,10000,ordered,649331,8
merge,10000,ordered,526468,9
merge,10000,ordered,527374,10
quick,10000,ordered,563297,1
quick,10000,ordered,524053,2
quick,10000,ordered,525261,3
quick,10000,ordered,532506,4
quick,10000,ordered,527374,5
quick,10000,ordered,591371,6
quick,10000,ordered,729630,7
quick,10000,ordered,689178,8
quick,10000,ordered,524053,9
quick,10000,ordered,14818388,10
quick,10000,ordered,423227,1
quick,10000,ordered,414775,2
quick,10000,ordered,414171,3
quick,10000,ordered,415681,4
quick,10000,ordered,392738,5
quick,10000,ordered,375229,6
quick,10000,ordered,417190,7
quick,10000,ordered,394549,8
quick,10000,ordered,398473,9
quick,10000,ordered,485413,10
merge,10000,ordered,509563,1
merge,10000,ordered,433793,2
merge,10000,ordered,412360,3
merge,10000,ordered,382475,4
merge,10000,ordered,379758,5
merge,10000,ordered,435001,6
merge,10000,ordered,375531,7
merge,10000,ordered,382776,8
merge,10000,ordered,374927,9
merge,10000,ordered,376738,10
quick,10000,ordered,374927,1
quick,10000,ordered,390021,2
quick,10000,ordered,388210,3
quick,10000,ordered,398171,4
quick,10000,ordered,378248,5
quick,10000,ordered,398172,6
